url,ID
https://www.quandl.com/data/CFTC/O_F_L_CHG-Commitment-of-Traders-Oats-Futures-Only-Change-in-Positions-Legacy-Format-004603,8531364
https://www.quandl.com/data/CFTC/C_F_OLD-Commitment-of-Traders-Corn-Futures-Only-Old-Crop-Years-002602,8624222
https://www.quandl.com/data/CFTC/S_F_CHG-Commitment-of-Traders-Soybeans-Futures-Only-Change-in-Positions-005602,8627315
https://www.quandl.com/data/CFTC/PL_F_CHG-Commitment-of-Traders-Platinum-Futures-Only-Change-in-Positions-076651,8703806
https://www.quandl.com/data/CFTC/CC_F_L_CHG-Commitment-of-Traders-Cocoa-Futures-Only-Change-in-Positions-Legacy-Format-073732,8536219
https://www.quandl.com/data/CFTC/PA_F_CHG-Commitment-of-Traders-Palladium-Futures-Only-Change-in-Positions-075651,8703561
https://www.quandl.com/data/CFTC/PA_F_ALL_OI-Commitment-of-Traders-Palladium-Futures-Only-Percent-of-Open-Interest-075651,8703593
https://www.quandl.com/data/CFTC/PL_F_L_ALL-Commitment-of-Traders-Platinum-Futures-Only-Legacy-Format-076651,8536279
https://www.quandl.com/data/CFTC/GC_F_OTR-Commitment-of-Traders-Gold-Futures-Only-Other-Crop-Years-088691,35177602
https://www.quandl.com/data/CFTC/C_F_L_CHG-Commitment-of-Traders-Corn-Futures-Only-Change-in-Positions-Legacy-Format-002602,8531335
https://www.quandl.com/data/CFTC/O_F_L_ALL-Commitment-of-Traders-Oats-Futures-Only-Legacy-Format-004603,8531361
https://www.quandl.com/data/CFTC/PA_F_L_ALL-Commitment-of-Traders-Palladium-Futures-Only-Legacy-Format-075651,8536236
https://www.quandl.com/data/CFTC/S_F_L_ALL_NT-Commitment-of-Traders-Soybeans-Futures-Only-Number-of-Traders-Legacy-Format-005602,8531524
https://www.quandl.com/data/CFTC/GC_F_L_ALL_NT-Commitment-of-Traders-Gold-Futures-Only-Number-of-Traders-Legacy-Format-088691,8536462
https://www.quandl.com/data/CFTC/MW_F_ALL_NT-Commitment-of-Traders-Wheat-Futures-Only-Number-of-Traders-001626,8623667
https://www.quandl.com/data/CFTC/CC_F_L_ALL_NT-Commitment-of-Traders-Cocoa-Futures-Only-Number-of-Traders-Legacy-Format-073732,8536223
https://www.quandl.com/data/CFTC/GC_F_ALL_NT-Commitment-of-Traders-Gold-Futures-Only-Number-of-Traders-088691,8705595
https://www.quandl.com/data/CFTC/O_F_L_ALL_NT-Commitment-of-Traders-Oats-Futures-Only-Number-of-Traders-Legacy-Format-004603,8531368
https://www.quandl.com/data/CFTC/CC_F_L_ALL-Commitment-of-Traders-Cocoa-Futures-Only-Legacy-Format-073732,8536216
https://www.quandl.com/data/CFTC/GC_F_OLD-Commitment-of-Traders-Gold-Futures-Only-Old-Crop-Years-088691,35176918
https://www.quandl.com/data/CFTC/O_F_OLD-Commitment-of-Traders-Oats-Futures-Only-Old-Crop-Years-004603,8625840
https://www.quandl.com/data/CFTC/S_F_OLD-Commitment-of-Traders-Soybeans-Futures-Only-Old-Crop-Years-005602,8626907
https://www.quandl.com/data/CFTC/CC_F_OTR-Commitment-of-Traders-Cocoa-Futures-Only-Other-Crop-Years-073732,8703217
https://www.quandl.com/data/CFTC/PL_F_OTR-Commitment-of-Traders-Platinum-Futures-Only-Other-Crop-Years-076651,35177288
https://www.quandl.com/data/CFTC/O_F_ALL_OI-Commitment-of-Traders-Oats-Futures-Only-Percent-of-Open-Interest-004603,8626102
https://www.quandl.com/data/CFTC/GC_F_CHG-Commitment-of-Traders-Gold-Futures-Only-Change-in-Positions-088691,8705389
https://www.quandl.com/data/CFTC/S_F_L_CHG-Commitment-of-Traders-Soybeans-Futures-Only-Change-in-Positions-Legacy-Format-005602,8531520
https://www.quandl.com/data/CFTC/MW_F_CHG-Commitment-of-Traders-Wheat-Futures-Only-Change-in-Positions-001626,8623394
https://www.quandl.com/data/CFTC/S_F_ALL_OI-Commitment-of-Traders-Soybeans-Futures-Only-Percent-of-Open-Interest-005602,8627418
https://www.quandl.com/data/CFTC/CC_F_OLD-Commitment-of-Traders-Cocoa-Futures-Only-Old-Crop-Years-073732,8703204
https://www.quandl.com/data/CFTC/SI_F_ALL_OI-Commitment-of-Traders-Silver-Futures-Only-Percent-of-Open-Interest-084691,8704964
https://www.quandl.com/data/CFTC/PA_F_OTR-Commitment-of-Traders-Palladium-Futures-Only-Other-Crop-Years-075651,35176914
https://www.quandl.com/data/CFTC/SI_F_L_ALL-Commitment-of-Traders-Silver-Futures-Only-Legacy-Format-084691,8536391
https://www.quandl.com/data/CFTC/MW_F_OTR-Commitment-of-Traders-Wheat-Futures-Only-Other-Crop-Years-001626,8623180
https://www.quandl.com/data/CFTC/SI_F_OTR-Commitment-of-Traders-Silver-Futures-Only-Other-Crop-Years-084691,35177374
